tag,category,count,alias
1girl,0,4974288,"女の子,女性,少女,girl,おんなのこ,女子,소녀,女孩,姑娘,女,ガール,ガールズイラスト,animegirl,じょせい,しょうじょ,じょし,おんながい,くーにゃん,おんな"
solo,0,4005860,"ソロ,solo,ひとり"
long_hair,0,3608339,"ロングヘアー,長髪,ロングヘア,黒髪ロング,金髪ロング,长发,長髪けもフレ,茶髪ロング,長い髪,長髪男子,銀髪ロング,ちょうはつ,くろかみろんぐ,きんぱつろんぐ,ちょうはつけもふれ,ちゃぱつろんぐ,ながいかみ,ちょうはつだんし,ぎんぱつろんぐ"
breasts,0,3157499,"おっぱい,極上の乳,大艦巨乳主義,オッパイ,美乳,おっぱいがいっぱい,乳神様,天乳,胸,boobs,胸がぱんぱかぱーん,九九艦爆乳,ダイヤモンドバスト,このおっぱいで聖女は無理でしょ,乳,いいおっぱいの日,乳房,유방,着衣巨乳,tits,どや乳,なのぱい,boob,tit,titties,titty,breast,oppai,boobies,歐派,ごくじょうのちち,だいかんきょにゅうしゅぎ,びにゅう,ちちがみさま,てんちち,むね,むねがぱんぱかぱーん,くくかんばくちち,このおっぱいでせいじょはむりでしょ,ちち,いいおっぱいのにち,ちぶさ,ちゃくいきょにゅう,どやちち,おうは"
looking_at_viewer,0,2903688,"カメラ目線,かめらめせん"
blush,0,2535113,"脸红,赤面,頬染め,///,紅潮,せきめん,ほおそめ,こうちょう"
smile,0,2294308,"笑い,スマイル,笑顔,笑顏,守りたい、この笑顔,笑,笑容,微笑み,微笑,微笑む,미소,守りたいこの笑顔,わらい,えがお,まもりたい、このえがお,わらいよう,ほほえみ,びしょう,ほほえむ,まもりたいこのえがお"
open_mouth,0,1906325,"開口,開いた口,口を開ける,かいこう,ひらいたくち,くちをひらける"
short_hair,0,1629090,"ショートヘア,ショートカット,短髪,黒髪ショート,短发,단발,たんぱつ,くろかみしょーと,たん"
simple_background,0,1518705,
large_breasts,0,1471472,"巨乳,美巨乳,大きな乳房,豊乳,着衣巨乳,デカァァァァァいッ説明不要!!,巨乳化,圧倒的胸囲,거유,big_boobs,bigboobs,bigbreasts,big_breast,large_breasts,big_tits,bigtits,きょにゅう,びきょにゅう,おおきなちぶさ,ほうにゅう,ちゃくいきょにゅう,でかぁぁぁぁぁいっせつめいふよう!!,きょにゅうか,あっとうてききょうい"
shirt,0,1448937,"シャツ,襯衫,셔츠,衬衫,上衣,しんさん,うわぎ"
blue_eyes,0,1409152,"blue_eyes,碧眼,青い目,藍眼睛,蓝眼睛,파란눈,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,銀髪碧眼,銀髮碧眼,银发碧眼,은발벽안,へきがん,あおいめ,あいがんせい,せい,きんぱつへきがん,きんめ,ぎんぱつへきがん"
skirt,0,1273613,"スカート,裙,치마,くん"
white_background,0,1265728,"白背景,しろはいけい"
long_sleeves,0,1250530,"長袖,ながそで"
blonde_hair,0,1199644,"金髪,金髮,金发,금발,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,金髪ロング,金髪ツインテール,ブロンド,きんぱつ,きん,きんぱつへきがん,きんめ,きんぱつろんぐ,きんぱつついんてーる"
hair_ornament,0,1190764,"髪飾り,发饰,かみかざり"
black_hair,0,1188777,"黒髪,黒髪ロング,黒髪ショート,黒髪ボブ,黑发,흑발,黒髪赤眼,黑髮赤眼,黑发赤眼,흑발적안,黑髮紅眼,黑发红眼,くろかみ,くろかみろんぐ,くろかみしょーと,くろかみぼぶ,くろ,くろかみあかめ,くろめ,くろかみくれないめ"
brown_hair,0,1147531,"茶髪,茶髪ロング,갈색머리,ちゃぱつ,ちゃぱつろんぐ"
multiple_girls,0,1116912,"群像,多女性,ぐんぞう,たじょせい"
gloves,0,1105296,"手袋,裸手袋,手袋コキ,てぶくろ,장갑,手套,はだかてぶくろ,てぶくろこき,しゅとう"
holding,0,1089329,
navel,0,1067528,"へそ,臍,おへそ,へそ出し,へそチラ,指を突っ込みたいへそ,肚脐,배꼽,へそだし,ゆびをつっこみたいへそ,と"
dress,0,1052374,"ドレス,ワンピース服,ワンピ,连衣裙,드레스,わんぴーすふく,くん"
red_eyes,0,1047308,"赤目,赤眼,赤い目,붉은눈,빨간눈,銀髪赤眼,銀髮赤眼,银发赤眼,은발적안,白髮紅眼,白发红眼,黒髪赤眼,黑髮赤眼,黑发赤眼,흑발적안,黑髮紅眼,黑发红眼,あかめ,あかいめ,ぎんぱつあかめ,しらがくれないめ,しろめ,くろかみあかめ,くろめ,くろかみくれないめ"
hair_between_eyes,0,1025094,
animal_ears,0,1010004,"獣娘,獣耳,けもみみ,ケモミミ,けものみみ,ケモ耳,獸耳,兽耳,けものむすめ"
thighhighs,0,985368,"ニーソックス,ニーソ,ニーハイソックス,ニーハイ,サイハイソックス,过膝袜,长筒袜,大腿袜,だいたい"
